"CORDOBA C.F., SAD",0 - 2 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"GIRONA F.C., SAD",0 - 2 ,"F.C. CARTAGENA, SAD"
REAL MURCIA C.F. SAD,3 - 1 ,VILLARREAL C.F. B
"R.C. CELTA DE VIGO, SAD",4 - 0 ,"S.D. HUESCA, SAD"
"ELCHE C.F., SAD",1 - 0 ,"XEREZ C.D., S.A.D."
"U.D. ALMERIA, SAD",1 - 1 ,"U.D. LAS PALMAS, SAD"
"REAL VALLADOLID C.F., SAD",2 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 11 (Fecha: 30/10/2011),,
Equipo Local,Marcador,Equipo Visitante
A.D. ALCORCON,1 - 0 ,C.D. GUADALAJARA
"C.E. SABADELL F.C., SAD.",2 - 2 ,C.D. ALCOYANO
F.C. BARCELONA B,1 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"HERCULES C.F., SAD",1 - 0 ,"CORDOBA C.F., SAD"
"R.C. DEPORTIVO DE LA CORUÑA, SAD",3 - 2 ,"GIRONA F.C., SAD"
"F.C. CARTAGENA, SAD",1 - 2 ,REAL MURCIA C.F. SAD
VILLARREAL C.F. B,2 - 3 ,"R.C. CELTA DE VIGO, SAD"
"S.D. HUESCA, SAD",0 - 1 ,"ELCHE C.F., SAD"
"XEREZ C.D., S.A.D.",0 - 1 ,"U.D. ALMERIA, SAD"
"U.D. LAS PALMAS, SAD",1 - 0 ,"REAL VALLADOLID C.F., SAD"
"R.C.RVO. DE HUELVA, SAD",1 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 12 (Fecha: 06/11/2011),,
Equipo Local,Marcador,Equipo Visitante
C.D. GUADALAJARA,0 - 2 ,"R.C.RVO. DE HUELVA, SAD"
C.D. ALCOYANO,0 - 0 ,A.D. ALCORCON
"GIMNASTIC DE TARRAGONA, SAD",5 - 0 ,"C.E. SABADELL F.C., SAD."
"CORDOBA C.F., SAD",1 - 1 ,F.C. BARCELONA B
"GIRONA F.C., SAD",1 - 0 ,"HERCULES C.F., SAD"
REAL MURCIA C.F. SAD,0 - 0 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"R.C. CELTA DE VIGO, SAD",1 - 0 ,"F.C. CARTAGENA, SAD"
"ELCHE C.F., SAD",3 - 0 ,VILLARREAL C.F. B
"U.D. ALMERIA, SAD",2 - 1 ,"S.D. HUESCA, SAD"
"REAL VALLADOLID C.F., SAD",2 - 1 ,"XEREZ C.D., S.A.D."
"C.D. NUMANCIA DE SORIA, SAD",3 - 2 ,"U.D. LAS PALMAS, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 13 (Fecha: 13/11/2011),,
Equipo Local,Marcador,Equipo Visitante
C.D. GUADALAJARA,1 - 1 ,C.D. ALCOYANO
A.D. ALCORCON,0 - 1 ,"GIMNASTIC DE TARRAGONA, SAD"
"C.E. SABADELL F.C., SAD.",0 - 3 ,"CORDOBA C.F., SAD"
F.C. BARCELONA B,2 - 2 ,"GIRONA F.C., SAD"
"HERCULES C.F., SAD",0 - 1 ,REAL MURCIA C.F. SAD
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,"R.C. CELTA DE VIGO, SAD"
"F.C. CARTAGENA, SAD",1 - 1 ,"ELCHE C.F., SAD"
VILLARREAL C.F. B,2 - 1 ,"U.D. ALMERIA, SAD"
"S.D. HUESCA, SAD",2 - 2 ,"REAL VALLADOLID C.F., SAD"
"XEREZ C.D., S.A.D.",1 - 2 ,"C.D. NUMANCIA DE SORIA, SAD"
"R.C.RVO. DE HUELVA, SAD",4 - 2 ,"U.D. LAS PALMAS, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 14 (Fecha: 20/11/2011),,
Equipo Local,Marcador,Equipo Visitante
C.D. ALCOYANO,2 - 1 ,"R.C.RVO. DE HUELVA, SAD"
"GIMNASTIC DE TARRAGONA, SAD",0 - 0 ,C.D. GUADALAJARA
"CORDOBA C.F., SAD",3 - 1 ,A.D. ALCORCON
"GIRONA F.C., SAD",1 - 1 ,"C.E. SABADELL F.C., SAD."
REAL MURCIA C.F. SAD,0 - 2 ,F.C. BARCELONA B
"R.C. CELTA DE VIGO, SAD",0 - 1 ,"HERCULES C.F., SAD"
"ELCHE C.F., SAD",3 - 2 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"U.D. ALMERIA, SAD",0 - 0 ,"F.C. CARTAGENA, SAD"
"REAL VALLADOLID C.F., SAD",2 - 1 ,VILLARREAL C.F. B
"C.D. NUMANCIA DE SORIA, SAD",1 - 1 ,"S.D. HUESCA, SAD"
"U.D. LAS PALMAS, SAD",0 - 0 ,"XEREZ C.D., S.A.D."
Resultados Temporada 2011/2012 - Jornada Nº 15 (Fecha: 27/11/2011),,
Equipo Local,Marcador,Equipo Visitante
C.D. ALCOYANO,0 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
C.D. GUADALAJARA,3 - 1 ,"CORDOBA C.F., SAD"
A.D. ALCORCON,1 - 0 ,"GIRONA F.C., SAD"
"C.E. SABADELL F.C., SAD.",2 - 2 ,REAL MURCIA C.F. SAD
F.C. BARCELONA B,2 - 1 ,"R.C. CELTA DE VIGO, SAD"
"HERCULES C.F., SAD",1 - 2 ,"ELCHE C.F., SAD"
"R.C. DEPORTIVO DE LA CORUÑA, SAD",3 - 1 ,"U.D. ALMERIA, SAD"
"F.C. CARTAGENA, SAD",0 - 0 ,"REAL VALLADOLID C.F., SAD"
VILLARREAL C.F. B,0 - 0 ,"C.D. NUMANCIA DE SORIA, SAD"
"S.D. HUESCA, SAD",2 - 0 ,"U.D. LAS PALMAS, SAD"
"R.C.RVO. DE HUELVA, SAD",1 - 2 ,"XEREZ C.D., S.A.D."
Resultados Temporada 2011/2012 - Jornada Nº 16 (Fecha: 04/12/2011),,
Equipo Local,Marcador,Equipo Visitante
"GIMNASTIC DE TARRAGONA, SAD",1 - 2 ,"R.C.RVO. DE HUELVA, SAD"
"CORDOBA C.F., SAD",3 - 0 ,C.D. ALCOYANO
"GIRONA F.C., SAD",0 - 0 ,C.D. GUADALAJARA
REAL MURCIA C.F. SAD,0 - 2 ,A.D. ALCORCON
"R.C. CELTA DE VIGO, SAD",4 - 1 ,"C.E. SABADELL F.C., SAD."
"ELCHE C.F., SAD",3 - 0 ,F.C. BARCELONA B
"U.D. ALMERIA, SAD",1 - 1 ,"HERCULES C.F., SAD"
"REAL VALLADOLID C.F., SAD",0 - 0 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"C.D. NUMANCIA DE SORIA, SAD",0 - 0 ,"F.C. CARTAGENA, SAD"
"U.D. LAS PALMAS, SAD",3 - 1 ,VILLARREAL C.F. B
"XEREZ C.D., S.A.D.",1 - 3 ,"S.D. HUESCA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 17 (Fecha: 11/12/2011),,
Equipo Local,Marcador,Equipo Visitante
"GIMNASTIC DE TARRAGONA, SAD",0 - 0 ,"CORDOBA C.F., SAD"
C.D. ALCOYANO,2 - 1 ,"GIRONA F.C., SAD"
C.D. GUADALAJARA,2 - 1 ,REAL MURCIA C.F. SAD
A.D. ALCORCON,0 - 0 ,"R.C. CELTA DE VIGO, SAD"
"C.E. SABADELL F.C., SAD.",0 - 0 ,"ELCHE C.F., SAD"
F.C. BARCELONA B,3 - 3 ,"U.D. ALMERIA, SAD"
"HERCULES C.F., SAD",2 - 2 ,"REAL VALLADOLID C.F., SAD"
"R.C. DEPORTIVO DE LA CORUÑA, SAD",3 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
"F.C. CARTAGENA, SAD",0 - 0 ,"U.D. LAS PALMAS, SAD"
VILLARREAL C.F. B,3 - 1 ,"XEREZ C.D., S.A.D."
"R.C.RVO. DE HUELVA, SAD",1 - 1 ,"S.D. HUESCA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 18 (Fecha: 18/12/2011),,
Equipo Local,Marcador,Equipo Visitante
"XEREZ C.D., S.A.D.",3 - 0 ,"F.C. CARTAGENA, SAD"
"S.D. HUESCA, SAD",1 - 0 ,VILLARREAL C.F. B
