Jornada 1,,,,,,
S. D. Ponferradina,1 - 0,"F. C. Barcelona ""B""",El Toralín,,,TBA
R. C. Recreativo de Huelva,2 - 1,C. D. Tenerife,Nuevo Colombino,,,Televisión Canaria
S. D. Eibar,0 - 0,A. D. Alcorcón,Ipurúa,,,TBA
Real Jaén C. F.,3 - 2,Real Murcia C. F.,La Victoria,,,TBA
Real Madrid Castilla C. F.,2 - 0,C. D. Lugo,Alfredo di Stéfano,,18:15,LaSexta
Deportivo Alavés,3 - 1,Hércules C. F.,Mendizorroza,,21:00,TBA
Jornada 9,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
C. D. Mirandés,2 - 3,Deportivo Alavés,Anduva,12 de octubre,18:00,ETB
C. D. Lugo,1 - 0,Córdoba C. F.,Anxo Carro,,,TVG
Real Murcia C. F.,1 - 0,Girona F. C.,Nueva Condomina,,,Esport3
Real Madrid Castilla C. F.,1 - 2,R. C. Recreativo de Huelva,Alfredo di Stéfano,,18:15,LaSexta
C. E. Sabadell F. C.,0 - 0,U. D. Las Palmas,Nova Creu Alta,,20:00,Esport3
"F. C. Barcelona ""B""",0 - 1,R. C. Deportivo de La Coruña,Mini Estadi,13 de octubre,12:00,Canal+ 1
Real Sporting de Gijón,1 - 1,Real Jaén C. F.,El Molinón,,17:00,Telecable
C. D. Tenerife,0 - 1,R. C. D. Mallorca,Heliodoro Rodríguez López,,18:00,Televisión Canaria
Hércules C. F.,0 - 0,S. D. Eibar,José Rico Pérez,,,TBA
Real Zaragoza,2 - 1,S. D. Ponferradina,La Romareda,,18:15,LaSexta
A. D. Alcorcón,0 - 1,C. D. Numancia de Soria,Santo Domingo,,21:00,TBA
Jornada 10,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
S. D. Ponferradina,0 - 1,C. D. Tenerife,El Toralín,19 de octubre,18:00,Televisión Canaria
Deportivo Alavés,2 - 3,"F. C. Barcelona ""B""",Mendizorroza,,,Esport3 y ETB
Córdoba C. F.,1 - 0,C. E. Sabadell,Nuevo Arcángel,,,TBA
R. C. Recreativo de Huelva,3 - 3,C. D. Lugo,Nuevo Colombino,,18:15,LaSexta
R. C. Deportivo de La Coruña,1 - 1,Real Zaragoza,Riazor,20 de octubre,12:00,Canal+ 1
S. D. Eibar,1 - 0,C. D. Mirandés,Ipurúa,,17:00,TBA
Real Jaén C. F.,1 - 0,A. D. Alcorcón,La Victoria,,,TBA
R. C. D. Mallorca,2 - 0,Real Madrid Castilla C. F.,Iberostar Estadio,,18:15,LaSexta
Girona F. C.,2 - 1,Real Sporting de Gijón,Montilivi,,19:00,Esport3
U. D. Las Palmas,0 - 0,Real Murcia C. F.,Gran Canaria,,,Televisión Canaria
C. D. Numancia de Soria,1 - 1,Hércules C. F.,Los Pajaritos,,21:00,TBA
Jornada 11,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Zaragoza,2 - 2,Deportivo Alavés,La Romareda,26 de octubre,18:15,LaSexta
C. D. Tenerife,2 - 0,R. C. Deportivo de La Coruña,Heliodoro Rodríguez López,,20:00,TV Canaria y TVG
R. C. Recreativo de Huelva,3 - 1,R. C. D. Mallorca,Nuevo Colombino,27 de octubre,12:00,Canal+ 1
C. D. Mirandés,0 - 0,C. D. Numancia de Soria,Anduva,,17:00,TBA
Hércules C. F.,0 - 1,Real Jaén C. F.,Rico Pérez,,,TBA
"F. C. Barcelona ""B""",0 - 2,S. D. Eibar,Mini Estadi,,,Esport3
Real Sporting de Gijón,2 - 3,U. D. Las Palmas,El Molinón,,,Televisión Canaria
Real Murcia C. F.,2 - 2,Córdoba C. F.,Nueva Condomina,,,TBA
C. D. Lugo,1 - 0,C. E. Sabadell F. C.,Anxo Carro,,,TBA
Real Madrid Castilla C. F.,1 - 1,S. D. Ponferradina,Alfredo di Stéfano,,18:15,LaSexta
A. D. Alcorcón,0 - 0,Girona F. C.,Santo Domingo,,21:00,Teledeporte
Jornada 12,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
S. D. Eibar,3 - 2,Real Zaragoza,Ipurúa,2 de noviembre,18:00,ETB
C. D. Numancia de Soria,1 - 0,"F. C. Barcelona ""B""",Los Pajaritos,,,Esport3
R. C. D. Mallorca,0 - 0,C. D. Lugo,Iberostar Estadio,,18:15,LaSexta
Girona F. C.,2 - 2,Hércules C. F.,Montilivi,,20:00,Esport3
U. D. Las Palmas,1 - 0,A. D. Alcorcón,Gran Canaria,,,Televisión Canaria
Córdoba C. F.,2 - 2,Real Sporting de Gijón,Nuevo Arcángel,3 de noviembre,12:00,Canal+ 1
Real Jaén C. F.,1 - 2,C. D. Mirandés,La Victoria,,17:00,TBA
