Jornada 1,,,,,,,,,,,
Deportivo,3 - 0,,Espanyol,,Riazor,,,,,,Taquilla 8
At. Madrid,1 - 1,,Almería,,Vicente Calderón,,,,19:00,,Gol T / C+ Liga
Athletic,3 - 0,,Getafe,,San Mamés,,,,21:00,,Canal+
Mallorca,2 - 1,,Levante,,Iberostar Estadi,,1 de noviembre,,21:00,,Gol T / Taquilla 7
Jornada 10,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Real Sociedad,1 - 0,,Racing,,Anoeta,,6 de noviembre,,20:00,,Gol T / C+ Liga
Espanyol,1 - 0,,Málaga,,Cornellà-El Prat,,,,22:00,,Gol T / C+ Liga
Zaragoza,3 - 2,,Mallorca,,La Romareda,,7 de noviembre,,17:00,,Taquilla 4
Villarreal,4 - 1,,Athletic,,El Madrigal,,,,,,Gol T / Taquilla 5
Almería,1 - 1,,Sporting,,Juegos Mediterráneos,,,,,,Taquilla 6
Osasuna,3 - 0,,Hércules,,Reyno de Navarra,,,,,,Taquilla 7
Levante,1 - 2,,Deportivo,,Ciutat de València,,,,,,Taquilla 8
Getafe,1 - 3,,Barcelona,,Coliseum Alfonso Pérez,,,,19:00,,Gol T / C+ Liga
Real Madrid,2 - 0,,At. Madrid,,Santiago Bernabéu,,,,21:00,,Canal+
Sevilla,2 - 0,,Valencia,,Ramón Sánchez Pizjuán,,8 de noviembre,,21:30,,laSexta / C9 / TV3 / IB3 / TM / TPA7
Jornada 11,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Athletic,1 - 0,,Almería,,San Mamés,,13 de noviembre,,18:00,,Gol T / C+ Liga
At. Madrid,3 - 0,,Osasuna,,Vicente Calderón,,,,20:00,,Gol T / C+ Liga
Barcelona,3 - 1,,Villarreal,,Camp Nou,,,,22:00,,laSexta / TV3 / C9 / IB3 / TM / TPA7
Zaragoza,1 - 2,,Sevilla,,La Romareda,,14 de noviembre,,17:00,,Gol T / Taquilla 4
Hércules,2 - 1,,Real Sociedad,,José Rico Pérez,,,,,,Taquilla 5
Racing,0 - 0,,Espanyol,,El Sardinero,,,,,,Taquilla 6
Málaga,1 - 0,,Levante,,La Rosaleda,,,,,,Taquilla 7
Mallorca,0 - 0,,Deportivo,,Iberostar Estadi,,,,,,Taquilla 8
Sporting,0 - 1,,Real Madrid,,El Molinón,,,,19:00,,Gol T / C+ Liga
Valencia,2 - 0,,Getafe,,Mestalla,,,,21:00,,Canal+
Jornada 12,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Villarreal,1 - 1,,Valencia,,El Madrigal,,20 de noviembre,,18:00,,Gol T / C+ Liga
Almería,0 - 8,,Barcelona,,Juegos Mediterráneos,,,,20:00,,Gol T / C+ Liga
Real Madrid,5 - 1,,Athletic,,Santiago Bernabéu,,,,22:00,,laSexta / TM / TPA7 / TV3 / IB3
Osasuna,1 - 0,,Sporting,,Reyno de Navarra,,21 de noviembre,,17:00,,Taquilla 5
Espanyol,3 - 0,,Hércules,,Cornellà-El Prat,,,,,,Taquilla 6
Levante,3 - 1,,Racing,,Ciutat de València,,,,,,Taquilla 7
Deportivo,3 - 0,,Málaga,,Riazor,,,,,,Taquilla 8
Sevilla,1 - 2,,Mallorca,,Ramón Sánchez Pizjuán,,,,19:00,,Gol T / C+ Liga
Real Sociedad,2 - 4,,At. Madrid,,Anoeta,,,,21:00,,Canal+
Getafe,1 - 1,,Zaragoza,,Coliseum Alfonso Pérez,,22 de noviembre,,21:00,,Gol T / Taquilla 7
Jornada 13,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Zaragoza,0 - 3,,Villarreal,,La Romareda,,27 de noviembre,,18:00,,Gol T / Taquilla 8
Sevilla,1 - 3,,Getafe,,Ramón Sánchez Pizjuán,,,,20:00,,Gol T / C+ Liga
At. Madrid,2 - 3,,Espanyol,,Vicente Calderón,,,,22:00,,laSexta / TM / TV3 / IB3 / TPA7
Sporting,1 - 3,,Real Sociedad,,El Molinón,,28 de noviembre,,17:00,,Taquilla 5
Hércules,3 - 1,,Levante,,José Rico Pérez,,,,,,Taquilla 6
Racing,1 - 0,,Deportivo,,El Sardinero,,,,,,Taquilla 7
Mallorca,2 - 0,,Málaga,,Iberostar Estadi,,,,,,Taquilla 8
Athletic,1 - 0,,Osasuna,,San Mamés,,,,19:00,,Gol T / C+ Liga
Valencia,2 - 1,,Almería,,Mestalla,,,,21:00,,Canal+
