Jornada 1,,,,,,
Córdoba CF,3 - 3,Recreativo,Nuevo Arcángel,,,CS2
FC Barcelona B,0 - 0,Valladolid,Mini Estadi,,,El 33 / C9 2 / tvG2 / TVC / ETB 1
FC Cartagena,1 - 1,Albacete,Cartagonova,,,7RM / CMT
Celta de Vigo,2 - 0,UD Las Palmas,Balaídos,5 de diciembre,12:00,Canal+
Rayo Vallecano,2 - 0,Girona FC,Teresa Rivero,,17:00,Gol T / C+ Liga
Elche CF,3 - 1,UD Salamanca,Martínez Valero,,,
CD Tenerife,2 - 2,Granada CF,Heliodoro Rodríguez López,26 de enero,21:30,
Jornada 16,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
SD Ponferradina,1 - 2,FC Cartagena,El Toralín,10 de diciembre,21:00,Gol T / C+ Liga
Valladolid,4 - 5,CD Numancia,José Zorrilla,11 de diciembre,16:00,Marca TV
AD Alcorcón,0 - 1,Elche CF,Santo Domingo,,18:00,LaOtra / C9 2
Villarreal B,1 - 1,SD Huesca,Ciudad Deportiva,,,ATV
Real Betis,3 - 1,Córdoba CF,Benito Villamarín,,,CS / TVC / 7RM / ETB 1
Girona FC,1 - 1,Celta de Vigo,Montilivi,,,El 33 / tvG2
UD Las Palmas,0 - 3,Xerez CD,Gran Canaria,,,
UD Salamanca,0 - 1,Rayo Vallecano,Helmántico,12 de diciembre,12:00,Canal+
Albacete,2 - 2,FC Barcelona B,Carlos Belmonte,,17:00,Gol T / C+ Liga
Granada CF,6 - 1,Nàstic,Nuevo Los Cármenes,,,
Recreativo,3 - 0,CD Tenerife,Nuevo Colombino,,,
Jornada 17,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,3 - 1,Girona FC,Chapín,17 de diciembre,21:00,Gol T / C+ Liga
Elche CF,1 - 1,Rayo Vallecano,Martínez Valero,18 de diciembre,16:00,Marca TV
AD Alcorcón,1 - 2,Villarreal B,Santo Domingo,,18:00,LaOtra / C9 2
SD Huesca,0 - 0,Granada CF,El Alcoraz,,,ATV
Nàstic,0 - 0,Recreativo,Nou Estadi,,,El 33
CD Tenerife,0 - 3,Real Betis,Heliodoro Rodríguez López,,,TVC / CS
Córdoba CF,1 - 0,Valladolid,Nuevo Arcángel,,,
CD Numancia,0 - 1,Albacete,Los Pajaritos,,,CMT
Celta de Vigo,1 - 0,UD Salamanca,Balaídos,,,tvG2 / 7RM / ETB 1
FC Cartagena,5 - 2,UD Las Palmas,Cartagonova,19 de diciembre,12:00,Canal+
FC Barcelona B,1 - 1,SD Ponferradina,Mini Estadi,,17:00,Gol T / C+ Liga
Jornada 18,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Granada CF,1 - 0,AD Alcorcón,Nuevo Los Cármenes,2 de enero,12:00,Gol T / C+ Liga
Rayo Vallecano,1 - 3,Celta de Vigo,Teresa Rivero,,,Canal+
Real Betis,1 - 0,Nàstic,Benito Villamarín,,16:00,Marca TV
Villarreal B,1 - 1,Elche CF,Ciudad Deportiva,,18:00,C9 2
Recreativo,0 - 1,SD Huesca,Nuevo Colombino,,,CS2 / ATV
Valladolid,2 - 2,CD Tenerife,José Zorrilla,,,TVC
Albacete,1 - 0,Córdoba CF,Carlos Belmonte,,,
SD Ponferradina,0 - 4,CD Numancia,El Toralín,,,
UD Las Palmas,2 - 2,FC Barcelona B,Gran Canaria,,,
Girona FC,1 - 1,FC Cartagena,Montilivi,,,El 33 / 7RM / LaOtra / tvG2
UD Salamanca,2 - 3,Xerez CD,Helmántico,3 de enero,20:00,Gol T / C+ Liga
Jornada 19,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Villarreal B,2 - 1,Granada CF,Ciudad Deportiva,7 de enero,21:00,Gol T / C+ Liga
Nàstic,1 - 0,Valladolid,Nou Estadi,8 de enero,16:00,Marca TV
AD Alcorcón,2 - 1,Recreativo,Santo Domingo,,18:00,LaOtra
Córdoba CF,3 - 3,SD Ponferradina,Nuevo Arcángel,,,CS2
CD Numancia,4 - 0,UD Las Palmas,Los Pajaritos,,,TVC
FC Barcelona B,1 - 2,Girona FC,Mini Estadi,,,El 33
FC Cartagena,1 - 0,UD Salamanca,Cartagonova,,,7RM
Elche CF,1 - 3,Celta de Vigo,Martínez Valero,,,C9 2 / tvG2
Xerez CD,0 - 1,Rayo Vallecano,Chapín,9 de enero,12:00,Canal+
SD Huesca,1 - 1,Real Betis,El Alcoraz,,17:00,Gol T / C+ Liga
CD Tenerife,0 - 1,Albacete,Heliodoro Rodríguez López,,18:00,
Jornada 20,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Girona FC,2 - 0,CD Numancia,Montilivi,14 de enero,21:00,Gol T / C+ Liga
Real Betis,3 - 0,AD Alcorcón,Benito Villamarín,15 de enero,16:00,Marca TV
Valladolid,2 - 0,SD Huesca,José Zorrilla,,18:00,ATV
