F.C. BARCELONA B,1 - 1 ,C.D. NUMANCIA DE SORIA
HERCULES C.F.,2 - 1 ,U.D. LAS PALMAS
R.C. DEPORTIVO DE LA CORUÑA,2 - 1 ,XEREZ C.D. S.A.D.
F.C. CARTAGENA,2 - 0 ,S.D. HUESCA
R.C.RVO. DE HUELVA,3 - 1 ,VILLARREAL C.F. B
Jornada 20 (Fecha: 15/01/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,3 - 0 ,GIRONA F.C.
REAL MURCIA C.F. SAD,2 - 1 ,CORDOBA C.F.
R.C. CELTA DE VIGO,1 - 0 ,GIMNASTIC DE TARRAGONA
ELCHE C.F.,1 - 2 ,C.D. ALCOYANO
U.D. ALMERIA,4 - 0 ,C.D. GUADALAJARA
REAL VALLADOLID C.F.,1 - 1 ,A.D. ALCORCON
C.D. NUMANCIA DE SORIA,2 - 1 ,C.E. SABADELL F.C..
U.D. LAS PALMAS,3 - 1 ,F.C. BARCELONA B
XEREZ C.D. S.A.D.,2 - 1 ,HERCULES C.F.
S.D. HUESCA,0 - 2 ,R.C. DEPORTIVO DE LA CORUÑA
VILLARREAL C.F. B,0 - 0 ,F.C. CARTAGENA
Jornada 21 (Fecha: 22/01/2012),,
Local,Marcador,Visitante
GIRONA F.C.,1 - 1 ,REAL MURCIA C.F. SAD
CORDOBA C.F.,0 - 0 ,R.C. CELTA DE VIGO
GIMNASTIC DE TARRAGONA,1 - 0 ,ELCHE C.F.
C.D. ALCOYANO,2 - 2 ,U.D. ALMERIA
C.D. GUADALAJARA,0 - 3 ,REAL VALLADOLID C.F.
A.D. ALCORCON,2 - 2 ,C.D. NUMANCIA DE SORIA
C.E. SABADELL F.C..,1 - 1 ,U.D. LAS PALMAS
F.C. BARCELONA B,2 - 0 ,XEREZ C.D. S.A.D.
HERCULES C.F.,2 - 0 ,S.D. HUESCA
R.C. DEPORTIVO DE LA CORUÑA,1 - 0 ,VILLARREAL C.F. B
F.C. CARTAGENA,3 - 1 ,R.C.RVO. DE HUELVA
Jornada 22 (Fecha: 29/01/2012),,
Local,Marcador,Visitante
R.C. DEPORTIVO DE LA CORUÑA,2 - 1 ,F.C. CARTAGENA
HERCULES C.F.,0 - 2 ,VILLARREAL C.F. B
F.C. BARCELONA B,4 - 2 ,S.D. HUESCA
C.E. SABADELL F.C..,2 - 0 ,XEREZ C.D. S.A.D.
A.D. ALCORCON,3 - 1 ,U.D. LAS PALMAS
C.D. GUADALAJARA,1 - 0 ,C.D. NUMANCIA DE SORIA
